[23:25:45] currSec: 78.307846, totSec: 250.500000, status: 1, state: 0
[23:25:45] currSec: 79.050884, totSec: 250.500000, status: 1, state: 0
[23:25:46] currSec: 79.422404, totSec: 250.500000, status: 1, state: 0
[23:25:46] currSec: 79.793923, totSec: 250.500000, status: 1, state: 0
[23:25:47] currSec: 80.536961, totSec: 250.500000, status: 1, state: 0
[23:25:47] currSec: 80.908481, totSec: 250.500000, status: 1, state: 0
[23:25:48] currSec: 81.651519, totSec: 250.500000, status: 1, state: 0
[23:25:48] currSec: 82.023039, totSec: 250.500000, status: 1, state: 0
[23:25:49] currSec: 82.394558, totSec: 250.500000, status: 1, state: 0
[23:25:49] currSec: 83.137596, totSec: 250.500000, status: 1, state: 0
[23:25:50] currSec: 83.509116, totSec: 250.500000, status: 1, state: 0
[23:25:50] currSec: 83.880635, totSec: 250.500000, status: 1, state: 0
[23:25:51] currSec: 84.623673, totSec: 250.500000, status: 1, state: 0
[23:25:51] currSec: 84.995193, totSec: 250.500000, status: 1, state: 0
[23:25:52] currSec: 85.366712, totSec: 250.500000, status: 1, state: 0
[23:25:52] currSec: 86.109751, totSec: 250.500000, status: 1, state: 0
[23:25:53] currSec: 86.481270, totSec: 250.500000, status: 1, state: 0
[23:25:53] currSec: 86.852789, totSec: 250.500000, status: 1, state: 0
[23:25:54] currSec: 87.595828, totSec: 250.500000, status: 1, state: 0
[23:25:54] currSec: 87.967347, totSec: 250.500000, status: 1, state: 0
[23:25:55] currSec: 88.338866, totSec: 250.500000, status: 1, state: 0
[23:25:55] currSec: 89.081905, totSec: 250.500000, status: 1, state: 0
[23:25:56] currSec: 89.453424, totSec: 250.500000, status: 1, state: 0
[23:25:56] currSec: 89.824943, totSec: 250.500000, status: 1, state: 0
[23:25:57] currSec: 90.567982, totSec: 250.500000, status: 1, state: 0
[23:25:57] currSec: 90.939501, totSec: 250.500000, status: 1, state: 0
[23:25:58] currSec: 91.682540, totSec: 250.500000, status: 1, state: 0
[23:25:58] currSec: 92.054059, totSec: 250.500000, status: 1, state: 0
[23:25:59] currSec: 92.425578, totSec: 250.500000, status: 1, state: 0
[23:25:59] currSec: 93.168617, totSec: 250.500000, status: 1, state: 0
[23:26:00] currSec: 93.540136, totSec: 250.500000, status: 1, state: 0
[23:26:00] currSec: 93.911655, totSec: 250.500000, status: 1, state: 0
[23:26:01] currSec: 94.654694, totSec: 250.500000, status: 1, state: 0
[23:26:01] currSec: 95.026213, totSec: 250.500000, status: 1, state: 0
[23:26:02] currSec: 95.397732, totSec: 250.500000, status: 1, state: 0
[23:26:02] currSec: 96.140771, totSec: 250.500000, status: 1, state: 0
[23:26:03] currSec: 96.512290, totSec: 250.500000, status: 1, state: 0
[23:26:03] currSec: 96.883810, totSec: 250.500000, status: 1, state: 0
[23:26:04] currSec: 97.626848, totSec: 250.500000, status: 1, state: 0
[23:26:04] currSec: 97.998367, totSec: 250.500000, status: 1, state: 0
[23:26:05] currSec: 98.369887, totSec: 250.500000, status: 1, state: 0
[23:26:05] currSec: 99.112925, totSec: 250.500000, status: 1, state: 0
[23:26:06] currSec: 99.484444, totSec: 250.500000, status: 1, state: 0
[23:26:06] currSec: 99.855964, totSec: 250.500000, status: 1, state: 0
[23:26:07] currSec: 100.599002, totSec: 250.500000, status: 1, state: 0
[23:26:07] currSec: 100.970522, totSec: 250.500000, status: 1, state: 0
[23:26:08] currSec: 101.342041, totSec: 250.500000, status: 1, state: 0
[23:26:08] currSec: 102.085079, totSec: 250.500000, status: 1, state: 0
[23:26:09] currSec: 102.456599, totSec: 250.500000, status: 1, state: 0
[23:26:09] currSec: 103.199637, totSec: 250.500000, status: 1, state: 0
[23:26:10] currSec: 103.571156, totSec: 250.500000, status: 1, state: 0
[23:26:10] currSec: 103.942676, totSec: 250.500000, status: 1, state: 0
[23:26:11] currSec: 104.685714, totSec: 250.500000, status: 1, state: 0
[23:26:11] currSec: 105.057234, totSec: 250.500000, status: 1, state: 0
[23:26:12] currSec: 105.428753, totSec: 250.500000, status: 1, state: 0
[23:26:12] currSec: 106.171791, totSec: 250.500000, status: 1, state: 0
[23:26:13] currSec: 106.543311, totSec: 250.500000, status: 1, state: 0
[23:26:13] currSec: 106.914830, totSec: 250.500000, status: 1, state: 0
[23:26:14] currSec: 107.657868, totSec: 250.500000, status: 1, state: 0
[23:26:14] currSec: 108.029388, totSec: 250.500000, status: 1, state: 0
[23:26:15] currSec: 108.400907, totSec: 250.500000, status: 1, state: 0
[23:26:15] currSec: 109.143946, totSec: 250.500000, status: 1, state: 0
[23:26:16] currSec: 109.515465, totSec: 250.500000, status: 1, state: 0
[23:26:16] currSec: 109.886984, totSec: 250.500000, status: 1, state: 0
[23:26:17] currSec: 110.630023, totSec: 250.500000, status: 1, state: 0
[23:26:17] currSec: 111.001542, totSec: 250.500000, status: 1, state: 0
[23:26:18] currSec: 111.373061, totSec: 250.500000, status: 1, state: 0
[23:26:18] currSec: 112.116100, totSec: 250.500000, status: 1, state: 0
